,Distance from left-hand touchline,,,,,,,,,,,,,
Distance from Try line,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70
0-5,,,,,,,,,,,,,,
5-10,,,,,,98 (97-99),99 (98-100),99 (97-99),,,85 (73-92),,,
10-15,,,86 (76-93),,95 (90-97),97 (95-99),99 (97-99),98 (96-99),96 (92-98),,,80 (65-89),,
15-20,,,85 (72-92),90 (82-95),94 (88-97),96 (92-98),98 (95-99),97 (94-99),95 (90-98),91 (83-96),84 (71-92),,84 (73-91),
20-25,53 (35-70),65 (48-79),78 (63-88),86 (75-93),92 (85-96),94 (89-97),96 (92-98),95 (90-98),93 (85-96),88 (78-94),82 (69-90),74 (57-85),62 (45-77),47 (29-65)
25-30,52 (35-69),63 (46-78),76 (61-87),83 (70-91),87 (76-93),92 (85-96),94 (87-97),93 (87-97),89 (79-94),84 (72-91),78 (63-88),71 (55-84),59 (42-74),47 (31-64)
30-35,44 (28-61),54 (36-70),66 (48-79),73 (58-85),82 (69-91),87 (76-93),89 (79-95),88 (78-94),83 (70-91),79 (63-89),70 (54-83),59 (41-74),51 (34-68),38 (22-57)
35-40,36 (22-53),46 (30-63),59 (42-75),65 (47-79),73 (56-84),80 (65-89),81 (68-90),78 (63-88),76 (61-87),68 (51-82),63 (45-78),53 (37-70),40 (26-57),34 (19-54)
40-45,33 (18-51),39 (24-57),46 (29-64),56 (39-72),62 (45-77),69 (51-82),75 (59-86),71 (54-84),67 (49-81),60 (43-76),50 (33-68),41 (25-60),35 (21-51),35 (20-53)
45-50,24 (13-41),32 (19-47),38 (23-56),50 (34-66),54 (36-71),58 (40-74),64 (47-79),59 (42-75),53 (36-71),47 (30-65),40 (25-58),34 (19-52),29 (16-44),19 (9-34)
50-55,18 (9-33),11 (6-21),31 (18-48),34 (20-52),45 (28-62),44 (27-62),52 (35-69),47 (30-65),43 (27-61),41 (25-59),29 (17-46),31 (16-50),22 (12-37),
55-60,,,17 (8-31),30 (16-48),30 (16-48),38 (22-58),39 (23-57),49 (31-67),21 (12-37),26 (14-42),21 (11-36),,12 (6-23),
60-65,,,,,23 (13-39),,,13 (6-26),,32 (18-51),,,,
