,Distance from left-hand touchline,,,,,,,,,,,,,
Distance from Try line,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70
0-5,,,,,,,,,,,,,,
5-10,,,,,,0.527148129,3.6900369,1.317870322,,,0.263574064,,,
10-15,,,0.263574064,,1.317870322,5.271481286,17.13231418,7.643647865,2.372166579,,,0.263574064,,
15-20,,,0.527148129,4.217185029,11.59725883,12.38798102,17.92303637,12.38798102,9.75224038,8.434370058,1.84501845,,0.263574064,
20-25,3.426462836,8.170795994,23.72166579,18.4501845,9.75224038,8.697944122,15.28729573,11.59725883,11.59725883,12.91512915,25.8302583,10.01581444,7.380073801,0.527148129
25-30,15.55086979,21.61307327,34.0010543,12.91512915,8.961518187,7.643647865,15.28729573,9.488666315,7.907221929,10.27938851,24.24881392,16.34159199,18.71375857,3.162888772
30-35,3.953610965,8.434370058,13.17870322,9.225092251,9.75224038,10.01581444,11.0701107,9.75224038,9.225092251,8.434370058,13.44227728,6.325777543,8.170795994,0.790722193
35-40,3.953610965,9.225092251,10.01581444,8.434370058,10.01581444,11.0701107,15.28729573,8.434370058,9.225092251,8.697944122,12.12440696,8.434370058,6.852925672,0.527148129
40-45,2.108592514,5.798629415,15.28729573,14.23299947,7.907221929,8.697944122,13.70585134,14.23299947,8.961518187,9.488666315,13.17870322,7.643647865,5.007907222,0.527148129
45-50,1.054296257,2.899314707,8.697944122,6.062203479,6.589351608,8.170795994,12.91512915,10.01581444,8.697944122,5.271481286,10.54296257,5.007907222,2.108592514,0.263574064
50-55,0.527148129,0.527148129,3.6900369,2.635740643,3.162888772,3.6900369,9.75224038,5.271481286,3.953610965,2.372166579,1.84501845,1.054296257,1.581444386,
55-60,,,0.263574064,0.527148129,0.790722193,0.527148129,1.84501845,1.054296257,0.263574064,0.527148129,0.527148129,,0.263574064,
60-65,,,0.263574064,,0.527148129,,,0.263574064,,0.263574064,,,,
