Distance from Try line,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70
0-5,,,,,,0.5,3.7,1.3,,,,,,
5-10,,,0.3,,1.3,5.3,17.1,7.6,2.4,,,0.3,,
10-15,,,,,,,,,,,,,,
15-20,,,0.5,4.2,11.6,12.4,17.9,12.4,9.8,8.4,1.8,,,0.3
20-25,3.4,8.2,23.7,18.5,9.8,8.7,15.3,11.6,11.6,12.9,25.8,10.0,7.4,0.5
25-30,15.6,21.6,34.0,12.9,9.0,7.6,15.3,9.5,7.9,10.3,24.2,16.3,18.7,3.2
30-35,4.0,8.4,13.2,9.2,9.8,10.0,11.1,9.8,9.2,8.4,13.4,6.3,8.2,0.8
35-40,4.0,9.2,10.0,8.4,10.0,11.1,15.3,8.4,9.2,8.7,12.1,8.4,6.9,0.5
40-45,2.1,5.8,15.3,14.2,7.9,8.7,13.7,14.2,9.0,9.5,13.2,7.6,5.0,0.3
45-50,1.1,2.9,8.7,6.1,6.6,8.2,12.9,10.0,8.7,5.3,10.5,5.0,2.1,0.3
50-55,0.5,0.5,3.7,2.6,3.2,3.7,9.8,5.3,4.0,2.4,1.8,1.1,1.6,
55-60,,,0.3,0.5,0.8,0.5,1.8,1.1,0.3,0.5,0.5,,0.3,
60-65,,,0.3,,0.5,,,0.3,,0.3,,,,
