"d_touch","delta_mean","delta_lo_2_5","delta_hi_97_5","pr_lineout_better"
0,-1.38518959965994,-1.91108288799156,-0.872900018481598,0
1,-1.34474553343041,-1.87288795293101,-0.827327570818578,0
2,-1.30553309372101,-1.83337202434632,-0.776111215742285,0
3,-1.26688689112583,-1.79720075705191,-0.728624254612215,0
4,-1.228141536239,-1.74580551964059,-0.689523352517189,0
5,-1.18863163965465,-1.71804254119859,-0.64333005756119,0
6,-1.14769181196689,-1.65579462980423,-0.601916738612613,0
7,-1.10465666376984,-1.62586211357298,-0.558246323278122,0
8,-1.05886080565762,-1.5848731078214,-0.511823322727415,0
9,-1.00963884822435,-1.54790337230799,-0.453939099229328,0
10,-0.956325402064153,-1.49276669450859,-0.39546486860584,0.002
11,-0.898255077771147,-1.44664763790202,-0.324227145752165,0.002
12,-0.834762485939451,-1.41486211731002,-0.263949197879186,0.002
13,-0.765182237163186,-1.35057839916421,-0.179288043612596,0.005
14,-0.688848942036472,-1.28384031409922,-0.076412268693907,0.011
15,-0.605097211153428,-1.21384482968023,0.0294391875709318,0.035
16,-0.513261655108174,-1.14607087338326,0.138110854002202,0.072
17,-0.412409309064508,-1.07792498627348,0.242445883205868,0.106
18,-0.300387930993747,-0.994372239390533,0.354629669814254,0.192
19,-0.176567644844114,-0.869555041138046,0.471175592813572,0.291
20,-0.0405993277673928,-0.734133361324644,0.594932791427966,0.438
21,0.107866143084635,-0.574510042665476,0.73014164138315,0.634
22,0.269177890560188,-0.383305760911744,0.881981595417694,0.816
23,0.443685037507483,-0.179311737686944,1.03825571075779,0.928
24,0.631736706774739,0.0301840743979175,1.21844378828523,0.981
25,0.833682021210172,0.228548897159456,1.42307636206722,0.994
26,1.049870103662,0.388228197376051,1.66152318504462,1
27,1.28065007697844,0.544158759553967,1.92767147966708,1
28,1.40162112360096,0.614737819220418,2.09800847563482,1
29,1.40162112360096,0.614737819220418,2.09800847563482,1
30,1.40162112360096,0.614737819220418,2.09800847563482,1
